Attributes,change_perc1,change_perc2,open,high,low,close,volume_match,volume_reconcile,adjust,value_match,value_reconcile,volume
2019-06-27,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-06-28,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-01,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-02,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-03,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-04,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-05,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-08,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-09,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-10,0.0,0.0,9.5,9.5,9.5,9.5,0,115000,6.01,0,989000000,115000
2019-07-11,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-12,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-15,0.0,0.0,9.5,9.5,9.5,9.5,0,114000,6.01,0,980400000,114000
2019-07-16,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-17,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-18,0.0,0.0,9.5,9.5,9.5,9.5,0,114160,6.01,0,981776000,114160
2019-07-19,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-22,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-23,0.0,0.0,9.5,9.5,9.5,9.5,0,113000,6.01,0,971800000,113000
2019-07-24,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-25,0.0,0.0,9.5,9.5,9.5,9.5,0,110000,6.01,0,946000000,110000
2019-07-26,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-29,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-07-30,0.0,0.0,9.5,9.5,9.5,9.5,0,42000,6.01,0,361200000,42000
2019-07-31,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-08-01,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2019-08-02,0.5,5.26,9.5,10.0,10.0,10.0,8000,0,6.33,80000000,0,8000
2019-08-05,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-08-06,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-08-07,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-08-08,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-08-09,0.0,0.0,10.0,10.0,10.0,10.0,40,0,6.33,360000,0,40
2019-08-12,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-08-13,0.0,0.0,10.0,10.0,10.0,10.0,0,107000,6.33,0,1091400000,107000
2019-08-14,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-08-15,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-08-16,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-08-19,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-08-20,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-08-21,0.0,0.0,10.0,10.0,10.0,10.0,900,0,6.33,9000000,0,900
2019-08-22,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-08-23,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-08-26,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-08-27,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-08-28,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-08-29,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-08-30,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-03,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-04,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-05,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-06,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-09,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-10,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-11,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-12,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-13,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-16,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-17,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-18,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-19,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-20,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-23,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-24,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-25,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-26,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-27,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-09-30,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-10-01,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-10-02,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-10-03,0.0,0.0,10.0,10.0,10.0,10.0,0,0,6.33,0,0,0
2019-10-04,0.5,5.0,10.0,10.0,10.5,10.5,7100,0,6.65,71050000,0,7100
2019-10-07,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-08,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-09,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-10,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-11,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-14,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-15,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-16,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-17,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-18,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-21,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-22,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-23,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-24,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-25,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-28,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-29,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-30,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-10-31,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-01,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-04,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-05,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-06,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-07,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-08,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-11,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-12,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-13,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-14,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-15,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-18,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-19,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-20,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-21,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-22,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-25,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-26,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-27,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-28,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-11-29,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-02,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-03,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-04,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-05,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-06,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-09,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-10,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-11,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-12,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-13,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-16,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-17,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-18,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-19,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-20,0.0,0.0,10.5,10.5,10.5,10.5,0,5000,6.65,0,50000000,5000
2019-12-23,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-24,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-25,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-26,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-27,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-30,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2019-12-31,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-02,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-03,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-06,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-07,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-08,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-09,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-10,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-13,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-14,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-15,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-16,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-17,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-20,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-21,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-22,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-30,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-01-31,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-03,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-04,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-05,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-06,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-07,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-10,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-11,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-12,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-13,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-14,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-17,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-18,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-19,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-20,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-21,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-24,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-25,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-26,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-27,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-02-28,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-02,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-03,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-04,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-05,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-06,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-09,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-10,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-11,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-12,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-13,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-16,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-17,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-18,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-19,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-20,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-23,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-24,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-25,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-26,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-27,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-30,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-03-31,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-01,0.0,0.0,10.5,10.5,10.5,10.5,6,0,6.65,57000,0,6
2020-04-03,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-06,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-07,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-08,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-09,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-10,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-13,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-14,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-15,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-16,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-17,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-20,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-21,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-22,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-23,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-24,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-28,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-04-29,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-04,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-05,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-06,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-07,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-08,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-11,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-12,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-13,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-14,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-15,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-18,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-19,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-20,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-21,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-22,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-25,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-26,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-27,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-28,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-05-29,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-06-01,0.0,0.0,10.5,10.5,10.5,10.5,0,0,6.65,0,0,0
2020-06-02,-1.0,-9.52,10.5,9.5,9.5,9.5,12000,0,6.01,114000000,0,12000
2020-06-03,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-04,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-05,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-08,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-09,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-10,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-11,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-12,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-15,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-16,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-18,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-19,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-22,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-23,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-24,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-25,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-26,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-29,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-06-30,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-01,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-02,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-03,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-06,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-07,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-08,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-09,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-10,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-13,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-14,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-15,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-16,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-17,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-20,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-21,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-22,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-23,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-24,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-27,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-28,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-29,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-30,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-07-31,0.0,0.0,9.5,9.5,9.5,9.5,0,0,6.01,0,0,0
2020-08-03,-0.1,-1.05,9.5,9.5,9.5,9.4,1000,0,5.95,9450000,0,1000
2020-08-04,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-05,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-06,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-07,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-10,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-11,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-12,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-13,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-14,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-17,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-18,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-19,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-20,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-21,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-24,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-25,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-26,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-27,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-28,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-08-31,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-09-01,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-09-03,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-09-04,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-09-07,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-09-08,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-09-09,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-09-10,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-09-11,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-09-14,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-09-15,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-09-16,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
2020-09-17,0.0,0.0,9.4,9.4,9.4,9.4,0,0,5.95,0,0,0
